ofertas,Empresa,Rango_Salario,Publicado,Link
Desarrollador senior,Empresa confidencial,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-senior/1884451506
Profesional senior atencion a clientes,Enel-Codensa y Enel-Emgesa,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-senior-atencion-a-clientes/1884485682
Desarrollador python,Empresa confidencial,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-python/1884485592
"Cuentas con experiencia comercial en constructoras, inmobiliarias o creditos hipotecarios, bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/cuentas-con-experiencia-comercial-en-constructoras-inmobiliarias-o-creditos-hipotecarios-bogota/1884484424
Desarrollador fullstack,PERIFERIA IT CORP SAS,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-fullstack/1884484767
Preventa oracle,SERVIMOS LTDA,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/preventa-oracle/1884485526
Desarrollador javascript java .net   gran convocatoria,SUMMAR PRODUCTIVIDAD S.A.S,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-javascript-java-net-gran-convocatoria/1884485361
Ingeniero skype empresarial u office 365,Empresa confidencial,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-skype-empresarial-u-office-/1884484849
Ingeniero de desarrollo de software,Empresa confidencial,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-desarrollo-de-software/1884451465
Desarrollador de software senior,Empresa confidencial,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-de-software-senior/1884451516
Controller financiero,Empresa confidencial,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/controller-financiero/1884485573
K auditor de procesos con certificado iso 9001:2015,KPMG,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/k-auditor-de-procesos-con-certificado-iso-/1884485325
Coordinador comercial contact center- inbound,Empresa confidencial,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-comercial-contact-center-inbound/1884485644
Programador java senior,GFI Informatica Colombia SAS,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/programador-java-senior/1884484629
"Cuentas con experiencia comercial en constructoras, inmobiliarias o creditos hipotecarios, bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",16 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/cuentas-con-experiencia-comercial-en-constructoras-inmobiliarias-o-creditos-hipotecarios-bogota/1884484424
"Lider, jefe comercial de ventas",SMART TRAINING SOCIETY SAS,"$4 a $4,5 millones",14 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-jefe-comercial-de-ventas/1884484067
Analista especializado senior,SUMMAR PRODUCTIVIDAD S.A.S,"$4 a $4,5 millones",14 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-especializado-senior/1884483865
Coordinador en sgc y sevicio ti,DIGITAL WARE S.A.,"$4 a $4,5 millones",14 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-en-sgc-y-sevicio-ti/1884484089
Ejecutivo de desarrollo de negocios bogota,LG CONSULTORES SAS,"$4 a $4,5 millones",14 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-desarrollo-de-negocios-bogota/1884483846
Jefe comercial  bogota,SMART TRAINING SOCIETY SAS,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-comercial-bogota/1884483061
Ejecutivos comerciales  bogota - i,Empresa confidencial,"$4 a $4,5 millones",13 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivos-comerciales-bogota-i/1884483214
