ofertas,Empresa,Rango_Salario,Publicado,Link
Ingeniero agronomo comercial poscocecha,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-agronomo-comercial-poscocecha/1884477044
Lider de tecnologia,El Tiempo Casa Editorial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-de-tecnologia/1884477283
Analista contable,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-contable/1884476756
Ingeniero senior - seguridad informatica,El Tiempo Casa Editorial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-senior-seguridad-informatica/1884476073
Medico auditor concurrente  - bogota dc,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-auditor-concurrente-bogota-dc/1884476388
Cientifico de datos,BLU LOGISTICS,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/cientifico-de-datos/1884427071
Coordinador juridico,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-juridico/1884476524
Ingenieros de proyectos de montajes,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingenieros-de-proyectos-de-montajes/1884477336
Coordinador de ventas sector retail - experiencia desde 2 anos respuesta inmediata,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-ventas-sector-retail-experiencia-desde-anos-respuesta-inmediata/1884476484
Jefe de compras,ADECCO COLOMBIA S A,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-compras/1884477186
Ingeniero de desarrollo rpg as400,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-desarrollo-rpg-as/1884475842
Asesor credito hipotecario o de vivienda manizales,ACTIVOS S.A.S.,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-credito-hipotecario-o-de-vivienda-manizales/1884477620
Administrador sharepoint (compras),ORGANIZACION T&S,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-sharepoint-compras/1884477217
Administrador sharepoint (compras),ORGANIZACION T&S,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-sharepoint-compras/1884477217
Residente de estructura 6 anos de experiencia,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/residente-de-estructura-anos-de-experiencia/1884475965
Coordinador de ventas sector retail / experiencia de 2 anos en tecnologia grandes superficies,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-ventas-sector-retail-experiencia-de-anos-en-tecnologia-grandes-superficies/1884477021
Ingeniero agronomo comercial poscocecha,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-agronomo-comercial-poscocecha/1884477044
Analista estadistico urgente bogota,ADECCO COLOMBIA S A,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-estadistico-urgente-bogota/1884476504
Cientifico de datos,BLU LOGISTICS,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/cientifico-de-datos/1884427071
Desarrollador spring,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-spring/1884475939
Coordinador juridico,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-juridico/1884476524
Jefe de proyectos logisticos,ACTIVOS S.A.S.,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-proyectos-logisticos/1884477381
Ingeniero desarrollo bpm,Millenium BPO S.A,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-desarrollo-bpm/1884476359
Ingeniero senior - seguridad informatica,El Tiempo Casa Editorial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-senior-seguridad-informatica/1884476073
Medico comeb picota,Consorcio Fondo de Atencion en SAlud PPL 2019,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-comeb-picota/1884477124
Ingenieros de proyectos de montajes,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingenieros-de-proyectos-de-montajes/1884476467
Ingeniero de desarrollo rpg as400,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-desarrollo-rpg-as/1884475842
Coordinador de ventas sector retail - experiencia desde 2 anos respuesta inmediata,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-ventas-sector-retail-experiencia-desde-anos-respuesta-inmediata/1884476403
Analista contable,Empresa confidencial,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-contable/1884476756
Residente electromecanico,ADECCO COLOMBIA S A,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/residente-electromecanico/1884476356
Asesor comercial barranquilla,ACTIVOS S.A.S.,"$4 a $4,5 millones",10 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-barranquilla/1884476457
Profesional de procesos y operaciones  especializacion,CAFAM,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-de-procesos-y-operaciones-especializacion/1884474728
Kam para energia renovable o energia solar fotovoltaica con experiencia en el sector,ADECCO COLOMBIA S A,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/kam-para-energia-renovable-o-energia-solar-fotovoltaica-con-experiencia-en-el-sector/1884475006
Director de programa ingenieria de sistemas,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-ingenieria-de-sistemas/1884474204
!!excelente ingresos!! tecnico linea blanca - contratacion inmediata,OUTSOURCING S.A,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/excelente-ingresos-tecnico-linea-blanca-contratacion-inmediata/1884475357
Docente biologia bilingue,GIMNASIO FONTANA SA,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-biologia-bilingue/1884475149
Desarrollador java semisenior,MICHAEL PAGE INTERNATIONAL,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-java-semisenior/1884475429
Lider de servicio al cliente (call center),Clinicos Programas de Atencion Integral  S.A.S. IPS,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-de-servicio-al-cliente-call-center/1884474086
Analista desarrollador,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-desarrollador/1884475241
Lider de logistica - sector energetico,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-de-logistica-sector-energetico/1884473926
Desarrollador semi senior fullstack java angular,MICHAEL PAGE INTERNATIONAL,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-semi-senior-fullstack-java-angular/1884387905
Asistente de marca,Quala S.A.,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asistente-de-marca/1884475148
Ingeniero soporte de aplicaciones,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-soporte-de-aplicaciones/1884474903
Administrador de monitoreo,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-de-monitoreo/1884474012
"Cuentas con experiencia en creditos hipotecarios, experiencia para ti-bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/cuentas-con-experiencia-en-creditos-hipotecarios-experiencia-para-tibogota/1884475147
(qf) coordinador tecnico  aseguramiento de la calidad,AUDIFARMA,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/qf-coordinador-tecnico-aseguramiento-de-la-calidad/1884474182
Ejecutivo de cuenta (textiles),ADECCO COLOMBIA S A,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-de-cuenta-textiles/1884474104
Ejecutivos comerciales  bogota - i,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivos-comerciales-bogota-i/1884475119
Cuentas con experiencia en constructoras-oferta para ti,ADECCO COLOMBIA S A,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/cuentas-con-experiencia-en-constructorasoferta-para-ti/1884475124
Coordinador de e commerce - urgente / bogota,ACTIVOS S.A.S.,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-e-commerce-urgente-bogota/1884474359
Consultor funcional ti,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/consultor-funcional-ti/1884474215
Kam para energia renovable o energia solar fotovoltaica con experiencia en el sector,ADECCO COLOMBIA S A,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/kam-para-energia-renovable-o-energia-solar-fotovoltaica-con-experiencia-en-el-sector/1884475006
Medico orientacion telefonica,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-orientacion-telefonica/1884475036
Administrador de base de datos,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-de-base-de-datos/1884475099
Docente biologia bilingue,GIMNASIO FONTANA SA,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-biologia-bilingue/1884475149
Analista senior electrico,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-senior-electrico/1884474513
Docente self contained teacher,GIMNASIO FONTANA SA,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-self-contained-teacher/1884475165
Director de programa ingenieria de sistemas,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/director-de-programa-ingenieria-de-sistemas/1884474204
Cuentas con experiencia en constructoras-oferta para ti,ADECCO COLOMBIA S A,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/cuentas-con-experiencia-en-constructorasoferta-para-ti/1884475124
Ingeniero soporte de aplicaciones,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-soporte-de-aplicaciones/1884474903
Docente ingles,GIMNASIO FONTANA SA,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/docente-ingles/1884475132
Consultor funcional ti,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/consultor-funcional-ti/1884474215
Asociado de litigios,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asociado-de-litigios/1884474044
Analista desarrollador,Empresa confidencial,"$4 a $4,5 millones",9 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-desarrollador/1884475241
Lider de seguridad de la informacion,Empresa confidencial,"$4 a $4,5 millones",8 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-de-seguridad-de-la-informacion/1884473598
Jefe administrativo,Empresa confidencial,"$4 a $4,5 millones",7 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-administrativo/1884473203
Director de recursos humanos,Empresa confidencial,"$4 a $4,5 millones",7 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/director-de-recursos-humanos/1884473210
Gerente restaurante,Empresa confidencial,"$4 a $4,5 millones",7 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gerente-restaurante/1884473437
Coordinador de servicios medicos,Empresa confidencial,"$4 a $4,5 millones",7 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-servicios-medicos/1884473205
Comprador de materias primas alimentos,Empresa confidencial,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/comprador-de-materias-primas-alimentos/1884471719
Jefe de proyectos logisticos,ACTIVOS S.A.S.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-proyectos-logisticos/1884472522
Ingeniero (a) datos senior,HITSS,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-a-datos-senior/1884472704
Director aguas y suelos codazzi,CRISTINA HERRERA TALENTI S.A.S.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/director-aguas-y-suelos-codazzi/1884395054
Consultor en arquitectura ti o empresarial,KPMG,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/consultor-en-arquitectura-ti-o-empresarial/1884472971
"Asesor hipotecario, excelentes comisiones-bogota",ADECCO COLOMBIA S A,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-hipotecario-excelentes-comisionesbogota/1884472069
Coordinador de pensiones (profesional juridico),Empresa confidencial,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-pensiones-profesional-juridico/1884472393
Ingeniero agronomo comercial poscocecha,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-agronomo-comercial-poscocecha/1884471539
Desarrollador fullstack,DIGITAL WARE S.A.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-fullstack/1884472655
Jefe de proyectos logisticos,ACTIVOS S.A.S.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-proyectos-logisticos/1884472522
Ingeniero desarrollo java,A SU SERVICIO TEMPORALES SAS,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-desarrollo-java/1884471747
Analista implementador bpm,VASS CONSULTORIA,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-implementador-bpm/1884471959
Jefe de proyectos productivos,Empresa confidencial,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-proyectos-productivos/1884337707
Profesional junior inspector obra civil - geotecnia - ddv,BUREAU VERITAS,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-junior-inspector-obra-civil-geotecnia-ddv/1884471696
Contador general,HIGH MANAGEMENT,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/contador-general/1884472691
Ingeniero (a) datos senior,HITSS,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-a-datos-senior/1884472704
Director aguas y suelos codazzi,CRISTINA HERRERA TALENTI S.A.S.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/director-aguas-y-suelos-codazzi/1884395054
Medico auditor concurrente  - bogota dc,Empresa confidencial,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-auditor-concurrente-bogota-dc/1884472589
Asesor comercial barranquilla,ACTIVOS S.A.S.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-barranquilla/1884472622
Desarrollador  .net ingeniero de sistemas - profesional,ACTIVOS S.A.S.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-net-ingeniero-de-sistemas-profesional/1884472583
Desarrollador pl-sql  senior,ADECCO COLOMBIA S A,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-plsql-senior/1884471882
Desarrollador backend,SUMMAR PRODUCTIVIDAD S.A.S,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-backend/1884471844
!!grandiosa oferta!! tecnico linea blanca - contratacion inmediata d,OUTSOURCING S.A,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/grandiosa-oferta-tecnico-linea-blanca-contratacion-inmediata-d/1884472637
Coordinador de e commerce - urgente / bogota,ACTIVOS S.A.S.,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-e-commerce-urgente-bogota/1884471658
Jefe de proyectos productivos,Empresa confidencial,"$4 a $4,5 millones",6 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/jefe-de-proyectos-productivos/1884337707
Ejecutivoa de cuenta experiencia en call center,TELEPERFORMANCE COLOMBIA S.A.S,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivoa-de-cuenta-experiencia-en-call-center/1884471320
Consultor ventas bizagi,DIGITAL WARE S.A.,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/consultor-ventas-bizagi/1884471014
Analista senior financiero,Compania Aseguradora de Fianzas -  Seguros Confianza S.A.,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-senior-financiero/1884470008
Gestor de servicios,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/gestor-de-servicios/1884470041
Ingeniero preventa medellin,Empresa confidencial,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-preventa-medellin/1884471144
Ingeniero de redes,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-de-redes/1884470932
Ejecutivo comercial (con certificacion amv vigente),Consorcio Fondo de Atencion en SAlud PPL 2019,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-con-certificacion-amv-vigente/1884470022
Administrador punto de venta  retail,HOME SENTRY,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-punto-de-venta-retail/1884469828
Asesor integral acompanamiento al cliente,Compensar,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-integral-acompanamiento-al-cliente/1884471390
Ejecutivo desarrollo de categorias,OXXO,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-desarrollo-de-categorias/1884470151
Administrador.net,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administradornet/1884469964
Residente ambiental,Empresa confidencial,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/residente-ambiental/1884470164
Residente seguridad y salud en el trabajo (sst),Empresa confidencial,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/residente-seguridad-y-salud-en-el-trabajo-sst/1884470228
Dba oracle,BANCO POPULAR,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/dba-oracle/1884469782
Programador de software *,SERDAN SA,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/programador-de-software-/1884470963
Medico auditor,Empresa confidencial,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-auditor/1884469795
Scrum master,MICHAEL PAGE INTERNATIONAL,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/scrum-master/1884471095
Kam linea blanca,EFICACIA S.A.,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/kam-linea-blanca/1884469647
Coordinador de promocion nacional,AULEN PHARMA S.A.,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-promocion-nacional/1884470924
Administrador punto de venta  retail,HOME SENTRY,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-punto-de-venta-retail/1884469828
Kam linea blanca,EFICACIA S.A.,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/kam-linea-blanca/1884469647
Ingeniero preventa medellin,Empresa confidencial,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-preventa-medellin/1884471144
Director tecnico jefe de produccion - exp. en laboratorios farmaceuticos,Empresa confidencial,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/director-tecnico-jefe-de-produccion-exp-en-laboratorios-farmaceuticos/1884470647
Programador de software *,SERDAN SA,"$4 a $4,5 millones",5 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/programador-de-software-/1884470963
Desarrollador java plsql,PERIFERIA IT CORP SAS,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-java-plsql/1884467910
Dir. de  programa de ingenieria industrial,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/dir-de-programa-de-ingenieria-industrial/1884469252
Adm sql certificado,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/adm-sql-certificado/1884469201
Profesional gestion de areas tematicas,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-gestion-de-areas-tematicas/1884469221
Reconocida multinacional de construccion requiere - jefe de mantenimiento para bogota,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/reconocida-multinacional-de-construccion-requiere-jefe-de-mantenimiento-para-bogota/1884294552
Administrador sharepoint,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/administrador-sharepoint/1884468993
Team manager,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/team-manager/1884467900
Lider de fabrica software,DIGITAL WARE S.A.,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/lider-de-fabrica-software/1884468660
Asesor de operaciones,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-de-operaciones/1884468243
Analista de aseguramiento ingresos,Compensar,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/analista-de-aseguramiento-ingresos/1884467976
Profesional defensa judicial,Consorcio Fondo de Atencion en SAlud PPL 2019,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-defensa-judicial/1884468750
Desarrollador de java estandar,ADECCO COLOMBIA S A,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-de-java-estandar/1884467677
Coordinador de operaciones laboratorio ambiental,Nexarte,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-operaciones-laboratorio-ambiental/1884469277
Chef jefe de cocina,INTEGRA TALENT SERVICES,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/chef-jefe-de-cocina/1884469476
Coordinador de tesoreria (regimen cambiario),ADECCO COLOMBIA S A,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-de-tesoreria-regimen-cambiario/1884467761
Coordinador mantenimiento/ bogota,CAFAM,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-mantenimiento-bogota/1884468136
Desarrollador java plsql,PERIFERIA IT CORP SAS,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/desarrollador-java-plsql/1884467910
"Asesor comercial excelentes comisiones, chiquinquira",ADECCO COLOMBIA S A,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-excelentes-comisiones-chiquinquira/1884468888
Kam sector farmaceutico,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/kam-sector-farmaceutico/1884421876
Coordinador e-commerce,GRUPO SOLUCIONES HORIZONTE,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/coordinador-ecommerce/1884468886
Reconocida multinacional de construccion requiere - jefe de mantenimiento para bogota,Empresa confidencial,"$4 a $4,5 millones",4 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/reconocida-multinacional-de-construccion-requiere-jefe-de-mantenimiento-para-bogota/1884294552
Medico auditor concurrente  - bogota dc,Empresa confidencial,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/medico-auditor-concurrente-bogota-dc/1884466526
Especialista en pavimentos,Empresa confidencial,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/especialista-en-pavimentos/1884465666
Especialista de aseguramiento de calidad,Empresa confidencial,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/especialista-de-aseguramiento-de-calidad/1884466250
Auditor,INTER RAPIDISIMO,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/auditor/1884466255
Auditor financiero,INTER RAPIDISIMO,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/auditor-financiero/1884465813
Consultor comercial inmobiliario oficinas,Colliers International Colombia S.A,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/consultor-comercial-inmobiliario-oficinas/1884466601
Key account manager,Empresa confidencial,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/key-account-manager/1884466226
Ingeniero especialista- desarrollo e innovacion.,Universidad de la Sabana,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-especialista-desarrollo-e-innovacion/1884466207
Profesional en  salud auditora en cuentas medicas,Empresa confidencial,"$4 a $4,5 millones",3 Mar 2020,https://www.elempleo.com/co/ofertas-trabajo/profesional-en-salud-auditora-en-cuentas-medicas/1884465627
